,AgeGyr,AscendingNodeDeg,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarAgeGyr,HostStarMassSlrMass,HostStarMetallicity,Host_Star_Radius_Solar,Host_Star_Temperature_Kelvin,InclinationDeg,IsInHabitableZone,Is_In_Habitable_Zone,LastUpdated,ListsPlanetIsOn,LongitudeDeg,Luminosity_of_Host_Star,Maximum_Greenhouse,Maximum_Greenhouse_S_eff,PeriastronDeg,PeriodDays,PlanetIdentifier,Planetary_Mass_Jupiter,RadiusJpt,RightAscension,Runaway_Greenhouse,Runaway_Greenhouse_S_eff,Semi_Major_Axis_AU},SurfaceTempK,TypeFlag
141,,266.4,+33 18 12.63,RV,1997.0,17.24,0.057,,1.0,,,5823.0,0.4,,,15/04/20,Controversial,,,,0.35865641343263244,303.0,39.8449,Rho Coronae Borealis b,169.7,,16 01 02.662,,1.1941927876054328,0.24,,0.0
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,-47 00 11.68,transit,2015.0,183.0,0.0,,1.112,0.09,1.209,5948.0,88.63,False,,15/09/08,Confirmed planets,,1.6166814934532963,2.1005583018663625,0.36639959651161086,,4.166286,KELT-10 b,0.679,1.399,18 58 11.601,1.1546988321740113,1.212514703352201,0.0525,1377.0,0.0
146,,,-31 08 39,RV,2011.0,19.8,0.08,,0.45,,0.43,3314.0,59.0,False,,11/02/07,Confirmed planets,,0.019707655103545337,0.2856721700436495,0.24148996335360068,,2.64561,Gliese 3634 b,0.022,,10 58 35,0.14128413597558676,0.9872977634154436,0.0287,565.4,0.0
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,+63 21 08,RV,2011.0,36.6,0.708,,0.93,0.14,,5453.0,,,,11/11/04,Confirmed planets,,,,0.33610784166637864,,131.05,HD 156279 b,9.71,,17 12 23,,1.1432359926134246,0.495,327.8,0.0
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
